Step,Device,Power(W)
0,device_Load1,4000.00
0,device_Load2,5000.00
0,device_EV,6000.00
0,device_ESS,3000.00
0,device_PV,0.00
1,device_PV,0.00
1,device_Load1,4000.00
1,device_Load2,5000.00
1,device_EV,6000.00
1,device_ESS,3000.00
2,device_Load1,4000.00
2,device_Load2,5000.00
2,device_EV,6000.00
2,device_ESS,3000.00
2,device_PV,0.00
3,device_Load1,4000.00
3,device_Load2,5000.00
3,device_EV,6000.00
3,device_ESS,3000.00
3,device_PV,0.00
4,device_Load1,4000.00
4,device_Load2,5000.00
4,device_EV,6000.00
4,device_ESS,3000.00
4,device_PV,0.00
5,device_Load1,4000.00
5,device_Load2,5000.00
5,device_EV,6000.00
5,device_ESS,3000.00
5,device_PV,0.00
6,device_Load2,5000.00
6,device_EV,6000.00
6,device_ESS,3000.00
6,device_PV,0.00
6,device_Load1,4000.00
7,device_Load2,5000.00
7,device_EV,6000.00
7,device_ESS,3000.00
7,device_PV,0.00
7,device_Load1,4000.00
8,device_Load1,4000.00
8,device_Load2,5000.00
8,device_EV,6000.00
8,device_ESS,3000.00
8,device_PV,0.00
9,device_Load1,4000.00
9,device_Load2,5000.00
9,device_EV,6000.00
9,device_ESS,3000.00
9,device_PV,0.00
10,device_Load1,4000.00
10,device_Load2,5000.00
10,device_EV,6000.00
10,device_ESS,3000.00
10,device_PV,0.00
11,device_Load1,4000.00
11,device_Load2,5000.00
11,device_EV,6000.00
11,device_ESS,3000.00
11,device_PV,0.00
12,device_Load1,4000.00
12,device_Load2,5000.00
12,device_EV,6000.00
12,device_ESS,3000.00
12,device_PV,0.00
13,device_EV,6000.00
13,device_ESS,3000.00
13,device_PV,0.00
13,device_Load1,4000.00
13,device_Load2,5000.00
14,device_Load1,4000.00
14,device_Load2,5000.00
14,device_EV,6000.00
14,device_ESS,3000.00
14,device_PV,0.00
15,device_PV,-2000.00
15,device_Load1,4000.00
15,device_Load2,5000.00
15,device_EV,6000.00
15,device_ESS,3000.00
16,device_Load1,4000.00
16,device_Load2,5000.00
16,device_EV,6000.00
16,device_ESS,3000.00
16,device_PV,-2000.00
17,device_Load1,4000.00
17,device_Load2,5000.00
17,device_EV,6000.00
17,device_ESS,3000.00
17,device_PV,-2000.00
18,device_Load2,5000.00
18,device_EV,6000.00
18,device_ESS,3000.00
18,device_PV,-2000.00
18,device_Load1,4000.00
19,device_Load1,4000.00
19,device_Load2,5000.00
19,device_EV,6000.00
19,device_ESS,3000.00
19,device_PV,-2000.00
20,device_Load1,4000.00
20,device_Load2,5000.00
20,device_EV,6000.00
20,device_ESS,3000.00
20,device_PV,-2000.00
21,device_PV,-2000.00
21,device_Load1,4000.00
21,device_Load2,5000.00
21,device_EV,6000.00
21,device_ESS,3000.00
22,device_ESS,3000.00
22,device_PV,-2000.00
22,device_Load1,4000.00
22,device_Load2,5000.00
22,device_EV,6000.00
23,device_Load1,4000.00
23,device_Load2,5000.00
23,device_EV,6000.00
23,device_ESS,3000.00
23,device_PV,-2000.00
24,device_PV,-2000.00
24,device_Load1,4000.00
24,device_Load2,5000.00
24,device_EV,6000.00
24,device_ESS,3000.00
25,device_ESS,3000.00
25,device_PV,-2000.00
25,device_Load1,4000.00
25,device_Load2,5000.00
