Step,Device,Power(W)
0,device_PV,-0.00
0,device_Load1,719.80
0,device_Load2,2741.64
0,device_EV,0.00
0,device_ESS,-1038.56
1,device_PV,-0.00
1,device_Load1,713.15
1,device_Load2,2653.28
1,device_EV,0.00
1,device_ESS,-1133.58
2,device_PV,-469.32
2,device_Load1,815.33
2,device_Load2,2653.22
2,device_EV,0.00
2,device_ESS,-1500.76
3,device_PV,-219.56
3,device_Load1,920.69
3,device_Load2,2587.18
3,device_EV,0.00
3,device_ESS,-1211.70
4,device_PV,-0.00
4,device_Load1,736.37
4,device_Load2,2765.60
4,device_EV,0.00
4,device_ESS,-998.02
5,device_PV,-0.00
5,device_Load1,913.71
5,device_Load2,2786.36
5,device_EV,0.00
5,device_ESS,-799.93
6,device_PV,-662.51
6,device_Load1,991.23
6,device_Load2,2547.73
6,device_EV,0.00
6,device_ESS,-1623.54
7,device_PV,-0.00
7,device_Load1,785.98
7,device_Load2,2590.85
7,device_EV,0.00
7,device_ESS,-1123.17
8,device_PV,-228.84
8,device_Load1,712.59
8,device_Load2,2870.72
8,device_EV,0.00
8,device_ESS,-1145.53
9,device_PV,-0.00
9,device_Load1,835.23
9,device_Load2,2584.44
9,device_EV,0.00
9,device_ESS,-1080.33
10,device_PV,-0.00
10,device_Load1,916.51
10,device_Load2,2857.05
10,device_EV,0.00
10,device_ESS,-726.44
11,device_PV,-745.98
11,device_Load1,721.09
11,device_Load2,2889.39
11,device_EV,0.00
11,device_ESS,-1635.50
12,device_PV,-655.11
12,device_Load1,984.02
12,device_Load2,2560.63
12,device_EV,0.00
12,device_ESS,-1610.45
13,device_PV,-190.87
13,device_Load1,950.22
13,device_Load2,2802.38
13,device_EV,0.00
13,device_ESS,-938.26
14,device_PV,-0.00
14,device_Load1,744.31
14,device_Load2,2781.79
14,device_EV,0.00
14,device_ESS,-973.90
15,device_PV,-107.77
15,device_Load1,977.64
15,device_Load2,2717.43
15,device_EV,0.00
15,device_ESS,-912.70
16,device_PV,-85.27
16,device_Load1,963.95
16,device_Load2,2574.77
16,device_EV,0.00
16,device_ESS,-1046.54
17,device_PV,-0.00
17,device_Load1,1008.74
17,device_Load2,2817.35
17,device_EV,0.00
17,device_ESS,-673.91
18,device_PV,-49.23
18,device_Load1,797.43
18,device_Load2,2681.28
18,device_EV,0.00
18,device_ESS,-1070.52
19,device_PV,-0.00
19,device_Load1,738.99
19,device_Load2,2603.58
19,device_EV,0.00
19,device_ESS,-1157.43
20,device_PV,-620.62
20,device_Load1,932.73
20,device_Load2,2567.03
20,device_EV,0.00
20,device_ESS,-1620.86
21,device_PV,-336.94
21,device_Load1,745.45
21,device_Load2,2619.29
21,device_EV,0.00
21,device_ESS,-1472.20
22,device_PV,-0.00
22,device_Load1,900.59
22,device_Load2,2859.15
22,device_EV,0.00
22,device_ESS,-740.26
23,device_PV,-550.16
23,device_Load1,803.11
23,device_Load2,2779.45
23,device_EV,0.00
23,device_ESS,-1467.60
24,device_PV,-0.00
24,device_Load1,1074.28
24,device_Load2,2755.14
24,device_EV,0.00
24,device_ESS,-670.58
25,device_PV,-61.30
25,device_Load1,941.69
25,device_Load2,2539.40
25,device_EV,0.00
25,device_ESS,-1080.21
26,device_PV,-0.00
26,device_Load1,1069.46
26,device_Load2,2865.88
26,device_EV,0.00
26,device_ESS,-564.65
27,device_PV,-695.94
27,device_Load1,889.07
27,device_Load2,2793.84
27,device_EV,0.00
27,device_ESS,-1513.04
28,device_PV,-0.00
28,device_Load1,1019.26
28,device_Load2,2827.54
28,device_EV,0.00
28,device_ESS,-653.20
29,device_PV,-0.00
29,device_Load1,871.40
29,device_Load2,2817.61
29,device_EV,0.00
29,device_ESS,-811.00
30,device_PV,-0.00
30,device_Load1,1105.26
30,device_Load2,2841.04
30,device_EV,0.00
30,device_ESS,-553.70
31,device_PV,-0.00
31,device_Load1,1008.97
31,device_Load2,2711.63
31,device_EV,0.00
31,device_ESS,-779.39
32,device_PV,-0.00
32,device_Load1,1092.80
32,device_Load2,2665.42
32,device_EV,0.00
32,device_ESS,-741.79
33,device_PV,-118.81
33,device_Load1,811.30
33,device_Load2,2892.81
33,device_EV,0.00
33,device_ESS,-914.69
34,device_PV,-0.00
34,device_Load1,848.92
34,device_Load2,2867.89
34,device_EV,0.00
34,device_ESS,-783.19
35,device_PV,-626.59
35,device_Load1,966.04
35,device_Load2,2631.62
35,device_EV,0.00
35,device_ESS,-1528.93
36,device_PV,-360.92
36,device_Load1,1125.79
36,device_Load2,2647.91
36,device_EV,0.00
36,device_ESS,-1087.22
37,device_PV,-229.96
37,device_Load1,980.21
37,device_Load2,2600.45
37,device_EV,0.00
37,device_ESS,-1149.30
38,device_PV,-487.04
38,device_Load1,1156.25
38,device_Load2,2630.14
38,device_EV,0.00
38,device_ESS,-1200.65
39,device_PV,-0.00
39,device_Load1,967.44
39,device_Load2,2836.89
39,device_EV,0.00
39,device_ESS,-695.67
40,device_PV,-0.00
40,device_Load1,959.41
40,device_Load2,2861.30
40,device_EV,0.00
40,device_ESS,-679.29
41,device_PV,-279.83
41,device_Load1,999.05
41,device_Load2,2896.47
41,device_EV,0.00
41,device_ESS,-884.31
42,device_PV,-0.00
42,device_Load1,1063.39
42,device_Load2,2544.46
42,device_EV,0.00
