Step,Device,Power(W)
0,device_PV,-0.00
0,device_Load1,719.80
0,device_Load2,2741.64
0,device_EV,0.00
0,device_ESS,-0.00
1,device_PV,-0.00
1,device_Load1,713.15
1,device_Load2,2653.28
1,device_EV,0.00
1,device_ESS,-0.00
2,device_PV,-938.63
2,device_Load1,815.33
2,device_Load2,2653.22
2,device_EV,0.00
2,device_ESS,-0.00
3,device_PV,-439.13
3,device_Load1,920.69
3,device_Load2,2587.18
3,device_EV,0.00
3,device_ESS,-0.00
4,device_PV,-0.00
4,device_Load1,736.37
4,device_Load2,2765.60
4,device_EV,0.00
4,device_ESS,-0.00
5,device_PV,-0.00
5,device_Load1,913.71
5,device_Load2,2786.36
5,device_EV,0.00
5,device_ESS,-0.00
6,device_PV,-1325.01
6,device_Load1,991.23
6,device_Load2,2547.73
6,device_EV,0.00
6,device_ESS,-0.00
7,device_PV,-0.00
7,device_Load1,785.98
7,device_Load2,2590.85
7,device_EV,0.00
7,device_ESS,-0.00
8,device_PV,-457.69
8,device_Load1,712.59
8,device_Load2,2870.72
8,device_EV,0.00
8,device_ESS,-0.00
9,device_PV,-0.00
9,device_Load1,835.23
9,device_Load2,2584.44
9,device_EV,0.00
9,device_ESS,-0.00
10,device_PV,-0.00
10,device_Load1,916.51
10,device_Load2,2857.05
10,device_EV,0.00
10,device_ESS,-0.00
11,device_PV,-1491.97
11,device_Load1,721.09
11,device_Load2,2889.39
11,device_EV,0.00
11,device_ESS,-0.00
12,device_PV,-1310.22
12,device_Load1,984.02
12,device_Load2,2560.63
12,device_EV,0.00
12,device_ESS,3000.00
13,device_PV,-381.73
13,device_Load1,950.22
13,device_Load2,2802.38
13,device_EV,0.00
13,device_ESS,3000.00
14,device_PV,-0.00
14,device_Load1,744.31
14,device_Load2,2781.79
14,device_EV,0.00
14,device_ESS,3000.00
15,device_PV,-215.55
15,device_Load1,977.64
15,device_Load2,2717.43
15,device_EV,0.00
15,device_ESS,3000.00
16,device_PV,-170.53
16,device_Load1,963.95
16,device_Load2,2574.77
16,device_EV,0.00
16,device_ESS,3000.00
17,device_PV,-0.00
17,device_Load1,1008.74
17,device_Load2,2817.35
17,device_EV,0.00
17,device_ESS,3000.00
18,device_PV,-98.46
18,device_Load1,797.43
18,device_Load2,2681.28
18,device_EV,0.00
18,device_ESS,3000.00
19,device_PV,-0.00
19,device_Load1,738.99
19,device_Load2,2603.58
19,device_EV,0.00
19,device_ESS,3000.00
20,device_PV,-1241.23
20,device_Load1,932.73
20,device_Load2,2567.03
20,device_EV,0.00
20,device_ESS,3000.00
21,device_PV,-673.88
21,device_Load1,745.45
21,device_Load2,2619.29
21,device_EV,0.00
21,device_ESS,3000.00
22,device_PV,-0.00
22,device_Load1,900.59
22,device_Load2,2859.15
22,device_EV,0.00
22,device_ESS,3000.00
23,device_PV,-1100.32
23,device_Load1,803.11
23,device_Load2,2779.45
23,device_EV,0.00
23,device_ESS,3000.00
24,device_PV,-0.00
24,device_Load1,1074.28
24,device_Load2,2755.14
24,device_EV,0.00
24,device_ESS,3000.00
25,device_PV,-122.60
25,device_Load1,941.69
25,device_Load2,2539.40
25,device_EV,0.00
25,device_ESS,3000.00
26,device_PV,-0.00
26,device_Load1,1069.46
26,device_Load2,2865.88
26,device_EV,0.00
26,device_ESS,3000.00
27,device_PV,-1391.88
27,device_Load1,889.07
27,device_Load2,2793.84
27,device_EV,0.00
27,device_ESS,3000.00
28,device_PV,-0.00
28,device_Load1,1019.26
28,device_Load2,2827.54
28,device_EV,0.00
28,device_ESS,3000.00
29,device_PV,-0.00
29,device_Load1,871.40
29,device_Load2,2817.61
29,device_EV,0.00
29,device_ESS,3000.00
30,device_PV,-0.00
30,device_Load1,1105.26
30,device_Load2,2841.04
30,device_EV,0.00
30,device_ESS,3000.00
31,device_PV,-0.00
31,device_Load1,1008.97
31,device_Load2,2711.63
31,device_EV,0.00
31,device_ESS,3000.00
32,device_PV,-0.00
32,device_Load1,1092.80
32,device_Load2,2665.42
32,device_EV,0.00
32,device_ESS,3000.00
33,device_PV,-237.62
33,device_Load1,811.30
33,device_Load2,2892.81
33,device_EV,0.00
33,device_ESS,3000.00
34,device_PV,-0.00
34,device_Load1,848.92
34,device_Load2,2867.89
34,device_EV,0.00
34,device_ESS,3000.00
35,device_PV,-1253.18
35,device_Load1,966.04
35,device_Load2,2631.62
35,device_EV,0.00
35,device_ESS,3000.00
36,device_PV,-721.83
36,device_Load1,1125.79
36,device_Load2,2647.91
36,device_EV,0.00
36,device_ESS,3000.00
37,device_PV,-459.92
37,device_Load1,980.21
37,device_Load2,2600.45
37,device_EV,0.00
37,device_ESS,3000.00
38,device_PV,-974.08
38,device_Load1,1156.25
38,device_Load2,2630.14
38,device_EV,0.00
38,device_ESS,3000.00
39,device_PV,-0.00
39,device_Load1,967.44
39,device_Load2,2836.89
39,device_EV,0.00
39,device_ESS,3000.00
40,device_PV,-0.00
40,device_Load1,959.41
40,device_Load2,2861.30
40,device_EV,0.00
40,device_ESS,3000.00
41,device_PV,-559.66
41,device_Load1,999.05
41,device_Load2,2896.47
41,device_EV,0.00
41,device_ESS,3000.00
42,device_PV,-0.00
42,device_Load1,1063.39
42,device_Load2,2544.46
42,device_EV,0.00
42,device_ESS,3000.00
43,device_PV,-1289.61
